time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,7.3,5.4,9.0,53.1,,95.0,19.7,33.3,1007.8,
2021-01-02,8.3,7.0,10.0,25.9,,95.0,28.1,44.5,1003.4,
2021-01-03,7.8,6.0,11.2,11.9,,104.0,17.9,29.6,1007.7,
2021-01-04,6.5,5.0,10.0,1.5,,98.0,12.2,24.1,1010.0,
2021-01-05,5.5,4.4,8.4,7.9,,103.0,14.9,27.8,1007.5,
2021-01-06,4.1,3.0,5.4,30.0,,97.0,14.7,25.9,1011.4,
2021-01-07,5.0,3.0,9.8,2.0,,114.0,9.5,22.2,1013.8,
2021-01-08,4.6,1.0,9.4,0.0,,111.0,8.3,20.4,1012.3,
2021-01-09,4.5,0.0,7.0,0.0,,97.0,14.3,31.5,1013.8,
2021-01-10,5.2,3.0,7.6,4.1,,96.0,18.3,38.9,1013.0,
2021-01-11,3.4,0.0,7.5,0.0,,96.0,13.2,33.3,1016.8,
2021-01-12,2.5,-1.2,10.0,0.0,,92.0,5.6,16.7,1016.7,
2021-01-13,4.9,0.5,12.4,0.0,,143.0,5.8,18.5,1015.3,
2021-01-14,8.3,2.8,13.4,0.0,,146.0,9.3,20.4,1011.7,
2021-01-15,7.6,5.0,12.0,1.0,,93.0,15.8,27.8,1013.6,
2021-01-16,4.4,0.0,9.4,0.0,,108.0,13.2,24.1,1020.2,
2021-01-17,3.7,-0.6,7.4,0.8,,113.0,12.2,25.9,1016.4,
2021-01-18,3.8,-2.0,11.4,0.0,,122.0,8.0,18.5,1023.9,
2021-01-19,3.9,-0.2,10.0,0.8,,117.0,7.4,18.5,1026.3,
2021-01-20,8.3,3.2,13.6,3.0,,120.0,10.8,22.2,1022.0,
2021-01-21,10.7,7.0,14.4,0.0,,124.0,11.2,27.8,1015.3,
2021-01-22,11.4,8.0,14.5,10.9,,150.0,16.5,44.5,1003.6,
2021-01-23,10.0,7.0,12.6,46.0,,239.0,30.5,63.0,996.9,
2021-01-24,8.7,2.0,13.0,29.0,,265.0,12.5,48.2,998.2,
2021-01-25,8.4,2.0,11.4,1.0,,257.0,26.2,55.5,1002.0,
2021-01-26,3.0,-2.4,11.2,0.0,,142.0,6.0,24.1,1014.8,
2021-01-27,3.2,-3.0,10.6,0.0,,122.0,8.9,18.5,1017.5,
2021-01-28,5.1,1.2,7.6,0.0,,116.0,6.6,18.5,1015.0,
2021-01-29,8.8,5.0,14.0,4.1,,112.0,11.0,31.5,1007.4,
2021-01-30,8.1,3.0,12.4,1.0,,113.0,10.2,29.6,1002.8,
2021-01-31,9.4,6.0,12.4,49.0,,116.0,13.9,27.8,994.5,
2021-02-01,7.4,4.8,10.0,10.2,,112.0,9.5,20.4,999.1,
2021-02-02,7.7,2.0,15.0,0.0,,107.0,5.4,14.8,1010.8,
2021-02-03,10.8,7.0,15.6,0.5,,148.0,8.0,20.4,1015.5,
2021-02-04,12.4,10.0,15.4,0.3,,99.0,6.2,18.5,1017.5,
2021-02-05,11.5,9.0,16.2,0.0,,119.0,8.1,20.4,1017.3,
2021-02-06,10.9,7.0,16.0,0.0,,122.0,10.2,25.9,1011.8,
2021-02-07,12.2,5.8,15.0,4.1,,188.0,14.6,37.0,999.1,
2021-02-08,10.9,9.8,14.0,6.1,,242.0,31.0,57.4,997.0,
2021-02-09,11.0,9.0,13.4,9.9,,252.0,17.9,37.0,1000.8,
2021-02-10,9.9,7.0,14.0,,,266.0,13.8,40.8,1000.4,
2021-02-11,8.8,4.0,13.0,,,221.0,9.4,25.9,1010.8,
2021-02-12,6.7,4.0,9.0,,,109.0,23.0,33.3,1019.2,
2021-02-13,2.8,1.0,5.4,,,78.0,25.1,51.8,1023.7,
2021-02-14,2.7,-1.0,7.2,0.0,,61.0,18.0,46.3,1036.5,
2021-02-15,1.8,-4.0,9.0,0.0,,132.0,7.7,20.4,1039.1,
2021-02-16,4.8,0.2,8.5,0.5,,103.0,6.2,18.5,1030.0,
2021-02-17,8.6,7.0,11.0,9.9,,69.0,5.8,18.5,1024.2,
2021-02-18,9.8,7.0,15.4,0.0,,128.0,7.2,16.7,1024.2,
2021-02-19,8.1,6.0,14.0,,,117.0,10.9,22.2,1025.3,
2021-02-20,11.5,8.0,15.0,,,99.0,7.1,24.1,1025.9,
2021-02-21,9.5,3.8,18.0,,,113.0,9.0,22.2,1025.7,
2021-02-22,10.1,4.5,17.2,0.0,,120.0,10.1,25.9,1029.3,
2021-02-23,9.9,5.0,18.4,0.0,,154.0,6.7,20.4,1035.3,
2021-02-24,9.4,4.0,17.0,0.0,,322.0,6.7,22.2,1034.9,
2021-02-25,9.2,4.8,16.5,0.0,,281.0,6.1,22.2,1032.0,
2021-02-26,8.6,5.6,14.0,0.0,,222.0,7.4,20.4,1028.9,
2021-02-27,9.3,7.0,15.4,0.0,,70.0,6.4,22.2,1024.4,
2021-02-28,10.9,6.0,16.4,0.0,,117.0,22.9,40.8,1027.8,
2021-03-01,8.2,0.8,17.0,0.0,,99.0,10.9,22.2,1028.9,
2021-03-02,8.5,0.8,18.6,0.0,,49.0,8.4,20.4,1031.5,
2021-03-03,8.2,1.0,17.8,0.0,,152.0,7.0,22.2,1031.3,
2021-03-04,8.4,2.0,16.0,0.0,,138.0,8.5,22.2,1024.5,
2021-03-05,9.5,5.0,15.8,0.0,,152.0,7.3,18.5,1018.4,
2021-03-06,9.2,4.5,14.0,0.0,,110.0,18.4,29.6,1023.7,
2021-03-07,8.3,2.0,16.2,0.0,,106.0,11.9,24.1,1022.6,
2021-03-08,10.3,4.0,17.6,0.0,,115.0,11.2,24.1,1014.8,
2021-03-09,10.8,9.0,16.2,0.0,,105.0,12.0,25.9,1012.0,
2021-03-10,9.1,4.6,15.0,0.0,,163.0,8.4,24.1,1016.6,
2021-03-11,9.3,3.4,14.6,0.0,,158.0,9.1,24.1,1021.0,
2021-03-12,12.3,9.6,18.0,0.0,,212.0,13.1,33.3,1015.2,
2021-03-13,11.6,7.0,16.0,0.0,,213.0,22.7,42.6,1015.2,
2021-03-14,11.4,6.0,15.6,0.0,,257.0,29.0,53.7,1009.2,
2021-03-15,7.5,-1.0,15.5,0.0,,199.0,13.7,29.6,1011.3,
2021-03-16,8.4,1.0,16.8,0.0,,61.0,9.3,27.8,1013.3,
2021-03-17,7.4,-0.4,16.4,0.0,,120.0,9.8,22.2,1014.9,
2021-03-18,7.4,2.8,13.5,0.0,,92.0,15.3,27.8,1015.4,
2021-03-19,7.1,0.5,13.0,0.0,,99.0,16.3,29.6,1013.4,
2021-03-20,7.7,1.0,12.8,0.0,,72.0,16.4,33.3,1015.1,
2021-03-21,7.3,2.0,12.0,0.0,,47.0,14.9,35.2,1012.4,
2021-03-22,8.3,-1.0,16.0,0.0,,57.0,10.6,27.8,1011.4,
2021-03-23,7.5,0.4,15.0,0.0,,152.0,12.5,22.2,1020.7,
2021-03-24,8.6,0.0,14.2,0.0,,227.0,11.4,25.9,1023.5,
2021-03-25,9.9,2.8,16.0,0.0,,235.0,8.6,22.2,1023.1,
2021-03-26,9.1,5.0,14.5,1.3,,125.0,6.0,20.4,1025.2,
2021-03-27,11.6,6.0,17.8,0.0,,154.0,10.6,24.1,1026.5,
2021-03-28,11.8,7.0,17.6,0.0,,177.0,9.2,22.2,1030.9,
2021-03-29,11.9,6.0,20.0,0.0,,219.0,7.3,18.5,1033.1,
2021-03-30,13.1,5.8,23.4,0.0,,214.0,8.6,18.5,1030.7,
2021-03-31,13.9,6.0,24.5,0.0,,259.0,8.3,22.2,1025.5,
2021-04-01,12.9,8.7,19.5,0.0,,221.0,7.9,22.2,1020.8,
2021-04-02,12.8,6.8,19.8,0.0,,184.0,8.2,22.2,1016.7,
2021-04-03,12.7,7.0,20.0,0.3,,119.0,10.1,22.2,1011.3,
2021-04-04,12.7,9.8,17.5,0.0,,85.0,18.5,37.0,1015.2,
2021-04-05,10.4,3.5,16.4,0.0,,168.0,14.0,24.1,1014.3,
2021-04-06,10.4,6.6,18.2,2.0,,110.0,18.1,35.2,1003.2,
2021-04-07,7.8,5.0,13.0,0.0,,69.0,12.1,29.6,1013.5,
2021-04-08,6.8,-2.8,14.8,0.0,,182.0,13.3,27.8,1025.7,
2021-04-09,9.8,2.8,16.4,0.0,,137.0,12.5,27.8,1027.3,
2021-04-10,10.8,7.8,15.8,0.5,,101.0,16.6,38.9,1022.6,
2021-04-11,12.6,10.0,16.8,10.9,,140.0,20.9,42.6,1017.4,
2021-04-12,12.4,10.0,16.4,16.0,,191.0,14.7,27.8,1015.9,
2021-04-13,10.1,7.0,15.2,0.0,,119.0,12.2,25.9,1017.2,
2021-04-14,9.2,3.0,16.0,0.0,,114.0,13.1,25.9,1021.1,
2021-04-15,9.6,7.0,14.2,0.3,,117.0,12.9,29.6,1019.4,
2021-04-16,10.5,4.0,17.0,0.0,,107.0,17.2,29.6,1016.5,
2021-04-17,10.1,3.8,17.2,0.0,,101.0,12.8,27.8,1013.8,
2021-04-18,9.6,3.8,15.6,0.0,,65.0,11.4,25.9,1014.4,
2021-04-19,9.6,5.0,15.6,0.0,,214.0,10.5,25.9,1015.5,
