time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-1.6,-3.0,-1.0,0.0,,6.0,8.3,22.3,1011.0,
2021-01-02,2.1,-1.0,4.6,0.4,,107.0,15.3,38.9,1013.5,
2021-01-03,4.2,2.6,5.5,0.2,,106.0,17.9,40.7,1011.2,
2021-01-04,1.9,1.1,2.5,1.2,,357.0,7.4,50.0,1013.7,
2021-01-05,3.1,2.5,3.7,0.2,,357.0,8.4,44.3,1011.5,
2021-01-06,1.7,0.0,3.0,3.8,10.0,356.0,9.9,46.4,1010.8,
2021-01-07,1.8,-0.5,4.6,0.0,,296.0,15.5,61.2,1014.7,
2021-01-08,0.6,-1.2,4.2,0.0,,345.0,9.5,37.1,1016.5,
2021-01-09,1.3,-0.9,4.7,0.0,,296.0,12.2,27.7,1021.1,
2021-01-10,-2.1,-3.9,-0.5,0.0,,356.0,8.0,16.6,1024.6,
2021-01-11,-3.1,-6.4,1.0,0.0,,350.0,9.5,29.5,1023.5,
2021-01-12,-3.9,-9.6,3.5,2.0,,4.0,9.6,42.5,1015.3,
2021-01-13,2.8,1.8,4.0,0.0,,287.0,30.9,72.4,1012.5,
2021-01-14,1.1,-1.0,3.0,0.9,,302.0,26.4,61.2,1011.9,
2021-01-15,0.3,-1.2,1.5,1.4,10.0,312.0,20.2,42.5,1019.6,
2021-01-16,-2.4,-4.4,-1.0,3.6,20.0,324.0,23.1,50.0,1022.5,
2021-01-17,-3.2,-5.5,-1.7,1.1,41.0,328.0,17.6,48.2,1019.8,
2021-01-18,-3.4,-6.7,2.5,0.6,,352.0,8.4,35.3,1023.7,
2021-01-19,3.5,1.5,6.6,0.7,30.0,259.0,19.8,53.6,1019.0,
2021-01-20,4.5,1.2,7.2,1.1,,114.0,15.6,40.7,1013.2,
2021-01-21,0.0,-2.2,2.7,0.0,,3.0,7.1,29.5,1008.5,
2021-01-22,7.5,-3.0,13.5,0.0,,158.0,22.1,51.8,1000.4,
2021-01-23,6.6,2.6,10.1,1.6,,242.0,23.9,53.6,997.5,
2021-01-24,2.9,-0.2,6.0,1.5,,317.0,18.3,55.4,999.1,
2021-01-25,2.3,0.0,4.6,0.0,,305.0,18.0,42.5,1003.0,
2021-01-26,1.1,-0.5,3.1,0.9,20.0,295.0,25.4,51.8,1013.4,
2021-01-27,1.5,-1.0,4.0,0.3,970.0,316.0,17.9,51.8,1016.5,
2021-01-28,0.8,-3.5,5.0,9.9,,128.0,10.4,24.1,1009.0,
2021-01-29,5.1,1.5,9.5,9.4,,308.0,16.8,51.8,1000.0,
2021-01-30,5.8,-0.5,11.0,1.6,,302.0,28.4,72.4,999.9,
2021-01-31,-0.6,-2.7,1.7,0.0,,0.0,8.7,22.3,1005.8,
2021-02-01,-1.0,-4.9,2.6,0.0,,96.0,14.9,35.3,1002.4,
2021-02-02,0.6,-1.2,3.7,0.4,,134.0,17.0,38.9,1009.3,
2021-02-03,3.0,1.0,10.2,1.9,,126.0,13.7,44.6,1008.4,
2021-02-04,9.9,2.2,13.0,0.1,,292.0,27.8,79.6,1012.9,
2021-02-05,4.6,2.0,8.0,4.1,,360.0,6.0,79.6,1016.5,
2021-02-06,3.2,1.2,4.6,2.9,,5.0,8.3,33.5,1012.9,
2021-02-07,2.1,-0.7,3.1,6.0,,51.0,13.7,51.8,1002.3,
2021-02-08,-0.9,-1.5,0.0,2.7,,1.0,12.9,33.5,997.8,
2021-02-09,0.2,-1.4,1.5,1.0,,7.0,9.2,25.9,1003.2,
2021-02-10,-1.0,-4.6,0.0,4.7,,14.0,15.2,48.2,1005.5,
2021-02-11,-5.6,-7.3,-3.9,0.0,,322.0,34.8,74.2,1021.4,
