time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.3,0.3,2.0,0.0,,72.0,6.6,20.4,1009.3,
2021-01-02,1.7,0.8,2.3,0.0,,47.0,15.0,33.3,1010.6,
2021-01-03,0.8,-0.6,1.5,0.0,,49.0,6.9,27.8,1011.7,
2021-01-04,-0.2,-1.2,0.5,0.0,,58.0,10.6,33.3,1013.2,
2021-01-05,0.1,-0.5,0.7,0.0,,62.0,9.7,25.9,1012.9,
2021-01-06,0.1,-1.0,1.3,0.0,,98.0,5.0,20.4,1015.2,
2021-01-07,-0.5,-1.8,1.3,0.0,,69.0,3.1,9.3,1017.4,
2021-01-08,-0.6,-1.9,1.5,0.0,,52.0,5.2,20.4,1018.9,
2021-01-09,-1.0,-2.6,0.3,0.0,,54.0,21.5,51.8,1020.1,
2021-01-10,-0.9,-2.2,0.0,0.0,,56.0,26.0,55.5,1021.6,
2021-01-11,-3.3,-5.5,-2.0,0.0,,36.0,9.1,33.3,1025.2,
2021-01-12,-1.1,-5.7,2.8,2.4,,239.0,20.0,59.3,1022.4,
2021-01-13,4.1,2.5,5.9,4.6,,231.0,17.1,51.8,1021.9,
2021-01-14,4.9,4.3,5.6,14.3,,236.0,25.5,59.3,1019.3,
2021-01-15,2.4,-1.5,5.0,2.5,,164.0,13.4,35.2,1020.8,
2021-01-16,-2.7,-4.8,-0.1,0.6,,58.0,7.5,25.9,1028.9,
2021-01-17,1.5,-0.3,2.6,0.0,,233.0,14.7,46.3,1023.0,
2021-01-18,1.1,-1.6,2.8,0.0,,241.0,4.5,20.4,1029.4,
2021-01-19,0.3,-2.9,3.7,0.0,,249.0,6.2,25.9,1024.0,
2021-01-20,1.7,-1.2,5.3,0.0,,222.0,4.8,14.8,1013.4,
2021-01-21,4.7,0.7,8.9,8.8,,233.0,12.0,35.2,1005.9,
2021-01-22,6.1,4.7,7.5,4.8,,218.0,9.0,33.3,997.8,
2021-01-23,4.2,3.1,5.4,1.8,,235.0,16.0,50.0,999.9,
2021-01-24,2.6,0.9,3.9,2.0,,239.0,12.4,51.8,1003.8,
2021-01-25,1.1,-0.6,2.6,0.2,,231.0,16.1,48.2,1007.6,
2021-01-26,0.0,-2.7,3.4,0.0,,239.0,6.9,22.2,1023.7,
2021-01-27,-0.9,-5.9,2.7,5.0,,241.0,9.6,29.6,1021.0,
2021-01-28,5.9,2.7,8.9,17.4,,234.0,22.5,57.4,1014.5,
2021-01-29,8.4,7.1,9.4,6.6,,237.0,28.2,77.8,1010.2,
2021-01-30,6.3,5.6,7.0,4.5,,229.0,14.9,50.0,1004.0,
2021-01-31,5.8,4.9,7.1,7.3,,203.0,5.0,20.4,999.7,
2021-02-01,6.4,5.1,7.7,4.7,,225.0,12.3,42.6,997.9,
2021-02-02,7.9,6.4,9.1,2.5,,232.0,18.4,48.2,1009.3,
2021-02-03,9.1,8.0,10.2,8.0,,234.0,19.1,66.7,1008.5,
2021-02-04,7.1,5.3,9.3,0.0,,100.0,6.4,38.9,1016.0,
2021-02-05,5.9,3.7,8.5,0.0,,91.0,3.4,11.1,1014.3,
2021-02-06,5.1,2.6,7.6,0.1,,67.0,4.7,14.8,1006.7,
2021-02-07,5.0,3.0,8.0,0.9,,236.0,8.2,31.5,999.5,
2021-02-08,3.6,2.1,5.4,3.7,,237.0,8.7,37.0,997.6,
2021-02-09,2.1,0.6,4.3,5.2,,72.0,9.4,27.8,1001.6,
