time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-3.3,-4.2,0.0,4.2,191.0,3.0,7.3,,1010.5,
2021-01-02,-4.8,-5.8,-4.1,0.0,170.0,27.0,5.2,16.2,1017.4,
2021-01-03,-9.4,-11.6,-5.5,0.0,160.0,348.0,8.0,18.0,1025.3,
2021-01-04,-16.2,-19.1,-11.6,0.0,160.0,262.0,2.3,10.1,1033.1,
2021-01-05,-16.8,-19.5,-14.7,0.0,160.0,141.0,2.8,12.6,1034.2,
2021-01-06,-13.2,-17.6,-11.4,0.0,150.0,135.0,5.1,19.8,1031.3,
2021-01-07,-8.2,-13.4,-6.9,0.1,150.0,106.0,7.8,22.0,1025.0,
2021-01-08,-7.8,-8.6,-6.9,0.1,150.0,120.0,9.0,18.7,1022.8,
2021-01-09,-11.0,-12.8,-8.6,0.0,160.0,130.0,8.0,19.1,1023.4,
2021-01-10,-13.8,-18.6,-11.1,0.6,170.0,131.0,16.5,38.9,1016.1,
2021-01-11,-8.2,-11.0,-7.3,0.4,140.0,129.0,21.4,45.4,1012.7,
2021-01-12,-13.3,-16.5,-7.6,0.0,130.0,108.0,30.3,55.4,1013.4,
2021-01-13,-20.3,-22.6,-16.3,0.0,130.0,101.0,19.8,45.4,1024.6,
2021-01-14,-26.9,-29.3,-22.6,0.0,130.0,104.0,4.8,21.2,1027.8,
2021-01-15,-14.3,-29.7,-9.7,0.1,130.0,199.0,2.8,6.8,1020.7,
2021-01-16,-6.3,-10.6,-4.2,0.0,130.0,280.0,3.8,8.6,1018.8,
2021-01-17,-3.4,-5.3,-2.2,0.0,130.0,258.0,10.1,22.3,1014.1,
2021-01-18,-3.9,-8.3,-2.6,0.2,119.0,193.0,8.9,20.5,1010.0,
2021-01-19,-5.1,-5.6,-3.5,0.2,130.0,46.0,5.0,18.7,1008.8,
2021-01-20,-6.9,-8.1,-4.9,1.7,10.0,100.0,18.2,34.9,1010.0,
2021-01-21,-10.3,-11.4,-7.9,5.3,10.0,111.0,28.2,60.5,1007.3,
2021-01-22,-10.6,-11.5,-9.6,4.5,,114.0,30.2,62.3,997.2,
2021-01-23,-6.6,-11.9,-1.5,3.9,,124.0,21.5,59.0,991.3,
2021-01-24,-4.2,-5.3,1.1,0.2,211.0,0.0,5.4,16.9,996.7,
2021-01-25,-5.1,-6.7,-5.0,0.6,201.0,5.0,7.9,20.5,1000.2,
2021-01-26,-2.6,-5.9,-0.5,1.0,201.0,186.0,7.8,17.3,1003.4,
2021-01-27,-5.1,-7.2,-2.3,2.0,,16.0,9.2,21.6,1002.6,
2021-01-28,-9.1,-10.4,-7.2,3.8,269.0,45.0,5.4,16.6,1003.6,
2021-01-29,-11.3,-19.3,-7.5,0.5,259.0,356.0,6.2,16.2,1003.2,
2021-01-30,-10.3,-11.9,-7.4,1.1,300.0,5.0,9.0,21.6,993.4,
2021-01-31,-9.5,-10.2,-8.5,1.9,,304.0,4.3,8.6,990.0,
2021-02-01,-17.2,-23.8,-10.1,0.3,330.0,323.0,2.7,6.5,994.9,
2021-02-02,-19.8,-26.0,-16.3,0.0,300.0,122.0,2.8,5.4,1009.4,
2021-02-03,-16.3,-22.3,-10.9,0.3,330.0,25.0,5.9,14.8,1014.4,
2021-02-04,-11.8,-13.2,-9.5,0.2,340.0,2.0,9.0,22.7,1016.2,
2021-02-05,-13.8,-20.6,-9.4,0.4,330.0,347.0,7.2,18.4,1024.7,
2021-02-06,-9.9,-11.9,-8.5,0.0,310.0,348.0,8.2,20.9,1026.0,
2021-02-07,-9.0,-11.4,-7.0,0.0,320.0,342.0,10.3,27.0,1023.4,
2021-02-08,-15.8,-19.8,-10.0,0.0,310.0,297.0,6.1,13.0,1023.5,
2021-02-09,-21.8,-26.3,-14.6,0.0,300.0,102.0,3.2,12.6,1021.2,
2021-02-10,-24.2,-26.6,-20.6,0.0,300.0,301.0,2.2,6.5,1023.3,
2021-02-11,-20.4,-25.3,-10.9,0.0,,213.0,3.5,7.6,1027.5,
2021-02-12,-8.7,-11.4,-4.4,0.1,,240.0,9.9,20.9,1025.6,
2021-02-13,-11.4,-16.5,-4.1,0.0,300.0,286.0,7.5,19.4,1024.1,
2021-02-14,-15.2,-18.8,-9.8,0.0,310.0,321.0,6.4,17.3,1028.2,
2021-02-15,-7.8,-18.0,-4.3,0.7,330.0,247.0,9.3,27.4,1021.0,
2021-02-16,-14.5,-16.7,-2.9,0.0,330.0,44.0,9.9,20.9,1022.8,
2021-02-17,-23.8,-26.7,-16.4,0.0,330.0,149.0,6.6,14.0,1026.8,
2021-02-18,-13.7,-25.8,-8.8,4.6,,184.0,8.0,19.1,1021.0,
2021-02-19,-9.2,-10.8,-7.5,2.7,399.0,128.0,16.5,35.6,1017.0,
2021-02-20,-9.9,-10.6,-9.0,4.1,,125.0,19.9,36.4,1016.0,
2021-02-21,-12.7,-14.4,-9.7,4.4,,110.0,21.8,42.1,1019.1,
2021-02-22,-13.2,-14.4,-12.3,2.6,429.0,126.0,19.8,40.7,1029.0,
2021-02-23,-12.9,-14.3,-12.0,5.8,480.0,152.0,17.2,45.0,1025.3,
2021-02-24,-8.6,-12.1,-6.7,6.6,511.0,152.0,12.3,33.1,1013.6,
2021-02-25,-1.4,-6.7,5.3,0.0,511.0,215.0,11.6,30.2,1001.8,
2021-02-26,-0.5,-4.1,3.6,0.0,,283.0,14.8,44.6,1000.6,
2021-02-27,-1.8,-7.1,3.5,1.8,,277.0,12.8,38.5,1016.2,
2021-02-28,1.4,-3.1,5.1,0.0,,272.0,14.7,31.7,1013.1,
2021-03-01,2.3,1.8,5.3,0.0,,269.0,25.4,53.6,1008.9,
2021-03-02,1.4,-1.6,3.0,0.0,450.0,292.0,18.9,43.9,1012.7,
2021-03-03,-0.8,-3.6,2.1,0.6,450.0,294.0,18.8,58.3,1006.7,
2021-03-04,-7.4,-10.9,-3.0,0.6,460.0,317.0,10.5,32.8,1007.7,
2021-03-05,-11.3,-17.3,-5.5,0.0,460.0,283.0,8.7,24.8,1013.0,
2021-03-06,-5.2,-15.9,-0.2,4.8,450.0,219.0,16.7,60.8,994.2,
2021-03-07,-7.8,-8.1,-4.3,0.0,470.0,6.0,16.3,47.9,997.2,
2021-03-08,-12.4,-21.0,-4.6,0.0,470.0,139.0,3.4,17.6,1015.9,
2021-03-09,-18.3,-21.9,-11.0,0.0,470.0,99.0,9.2,22.7,1024.3,
