time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,4.1,0.0,7.0,,,159.0,5.3,,1010.2,
2021-01-02,8.1,7.0,10.0,,,147.0,12.9,,1006.0,
2021-01-03,6.3,3.0,8.0,,,177.0,5.4,,1009.4,
2021-01-04,5.2,2.0,8.0,,,120.0,4.6,,1010.0,
2021-01-05,4.5,3.0,7.0,,,100.0,9.7,,1008.0,
2021-01-06,4.9,1.0,7.0,,,153.0,8.8,,1011.5,
2021-01-07,2.4,0.0,4.0,,,328.0,5.3,,1013.0,
2021-01-08,5.1,3.0,8.0,,,11.0,15.2,,1010.5,
2021-01-09,4.9,3.0,7.0,,,19.0,19.2,,1012.5,
2021-01-10,5.0,4.0,6.0,,,12.0,21.0,,1010.9,
2021-01-11,4.1,3.0,5.0,,,20.0,17.8,,1014.0,
2021-01-12,3.8,-1.0,8.0,,,352.0,11.4,,1014.3,
2021-01-13,3.5,-1.0,9.0,,,126.0,4.2,,1014.4,
2021-01-14,5.6,1.0,10.0,,,327.0,6.4,,1011.1,
2021-01-15,6.4,4.0,9.0,,,29.0,19.1,,1012.3,
2021-01-16,2.8,-1.0,7.0,,,24.0,16.2,,1018.6,
2021-01-17,0.2,-3.0,3.0,,,357.0,10.6,,1015.6,
2021-01-18,3.3,-1.0,9.0,,,338.0,8.0,,1022.1,
2021-01-19,1.8,-4.0,9.0,,,46.0,3.9,,1025.7,
2021-01-20,5.9,1.0,13.0,,,113.0,6.5,,1022.2,
2021-01-21,10.1,6.0,14.0,,,170.0,8.4,,1016.0,
2021-01-22,12.5,10.0,14.0,,,179.0,18.6,,1006.3,
2021-01-23,9.7,8.0,12.0,,,198.0,17.1,,999.4,
2021-01-24,7.3,0.0,11.0,,,195.0,12.1,,997.8,
2021-01-25,4.2,-1.0,11.0,,,293.0,10.2,,1002.8,
2021-01-26,2.3,-1.0,9.0,,,337.0,8.4,,1013.8,
2021-01-27,0.9,-3.0,6.0,,,16.0,6.5,,1017.0,
2021-01-28,2.9,-1.0,8.0,,,62.0,4.9,,1015.1,
2021-01-29,8.7,6.0,12.0,,,276.0,5.2,,1007.4,
2021-01-30,10.3,4.0,15.0,,,209.0,8.6,,1003.4,
2021-01-31,9.7,8.0,11.0,,,130.0,9.7,,995.0,
2021-02-01,8.3,6.0,10.0,,,339.0,5.2,,999.5,
2021-02-02,8.9,6.0,14.0,,,32.0,5.7,,1010.7,
2021-02-03,10.0,5.0,14.0,,,228.0,10.5,,1016.3,
2021-02-04,12.9,9.0,17.0,,,210.0,10.4,,1017.7,
2021-02-05,10.2,5.0,17.0,,,348.0,4.0,,1016.9,
2021-02-06,9.5,3.0,19.0,,,38.0,4.7,,1011.9,
2021-02-07,11.7,8.0,17.0,,,147.0,11.2,,1000.4,
2021-02-08,10.5,7.0,13.0,,,188.0,14.2,,998.0,
2021-02-09,11.0,9.0,13.6,,,179.0,13.4,,1001.8,
2021-02-10,11.8,7.0,16.0,,,182.0,15.7,,1001.5,
2021-02-11,9.0,4.0,15.0,,,310.0,7.1,,1010.5,
2021-02-12,5.8,3.0,9.0,,,55.0,9.1,,1018.8,
2021-02-13,1.3,-1.0,3.0,,,32.0,25.2,,1021.6,
