time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,3.7,2.7,5.0,,,302.0,5.3,,1009.3,
2021-01-02,4.6,2.7,7.2,6.0,,263.0,5.7,,1005.9,
2021-01-03,4.1,2.1,6.5,0.4,,221.0,5.3,,1008.3,
2021-01-04,5.2,3.0,7.0,1.6,,263.0,5.2,,1010.3,
2021-01-05,4.1,1.0,6.2,3.8,,105.0,6.6,,1008.0,
2021-01-06,3.5,2.0,6.1,0.2,,275.0,5.3,,1010.0,
2021-01-07,4.5,3.0,6.3,0.1,,245.0,4.6,,1014.3,
2021-01-08,3.7,0.0,7.0,0.1,,270.0,8.9,,1014.0,
2021-01-09,1.7,-1.1,4.0,0.2,,265.0,8.2,,1017.7,
2021-01-10,1.6,0.0,3.0,1.2,,269.0,11.4,,1017.5,
2021-01-11,0.5,-3.1,4.0,0.0,,267.0,8.1,,1019.1,
2021-01-12,1.8,-2.0,6.0,0.0,,251.0,7.8,,1016.2,
2021-01-13,1.9,-2.0,7.0,0.0,,226.0,7.7,,1013.5,
2021-01-14,1.1,-3.2,7.0,0.0,,21.0,5.2,,1011.0,
2021-01-15,2.6,0.4,5.0,0.5,,291.0,5.8,,1016.3,
2021-01-16,1.9,-2.0,6.0,0.0,,251.0,5.9,,1020.9,
2021-01-17,1.4,0.0,4.0,0.0,,230.0,3.8,,1016.4,
2021-01-18,0.8,-3.0,5.0,0.0,,229.0,5.2,,1023.6,
2021-01-19,-2.7,-6.0,-0.8,0.0,,287.0,4.1,,1024.7,
2021-01-20,-0.7,-5.0,4.0,0.0,,299.0,3.6,,1021.5,
2021-01-21,2.3,1.0,4.0,0.1,,264.0,5.2,,1015.5,
2021-01-22,3.9,1.6,11.0,9.2,,288.0,7.4,,1002.5,
2021-01-23,7.8,4.0,11.0,9.9,,190.0,11.0,,994.5,
2021-01-24,3.2,0.6,7.0,0.6,,245.0,9.0,,998.1,
2021-01-25,2.6,-1.0,6.5,0.0,,244.0,11.1,,1001.8,
2021-01-26,4.5,-1.0,10.0,0.0,,250.0,13.7,,1014.6,
2021-01-27,2.5,-2.1,6.0,0.0,,232.0,7.2,,1016.9,
2021-01-28,2.9,0.0,7.3,0.0,,211.0,6.2,,1013.4,
2021-01-29,2.0,-1.0,7.3,0.6,,278.0,3.9,,1005.9,
2021-01-30,6.0,0.0,12.0,1.0,,120.0,8.4,,1000.7,
2021-01-31,6.2,5.0,7.0,13.8,,275.0,11.9,,996.9,
2021-02-01,5.0,2.0,7.0,2.1,,334.0,3.9,,1000.6,
2021-02-02,4.6,0.0,10.0,0.1,,279.0,5.9,,1011.4,
2021-02-03,5.6,3.0,8.0,0.0,,345.0,4.4,,1014.6,
2021-02-04,7.7,4.0,11.0,0.0,,307.0,7.5,,1017.1,
2021-02-05,8.6,6.9,10.2,0.0,,328.0,3.6,,1018.2,
2021-02-06,8.7,8.0,10.0,0.8,,357.0,3.9,,1013.7,
2021-02-07,9.2,8.0,11.0,6.2,,102.0,11.6,,998.8,
2021-02-08,9.3,4.0,13.7,0.1,,123.0,7.7,,994.3,
2021-02-09,9.2,7.0,12.0,1.2,,273.0,6.8,,999.6,
2021-02-10,9.7,8.0,12.0,6.7,,215.0,11.2,,999.1,
2021-02-11,8.3,4.0,13.0,0.6,,120.0,13.9,,1011.3,
2021-02-12,4.3,0.0,7.0,1.4,,79.0,18.2,,1023.1,
2021-02-13,-0.1,-3.9,2.0,1.7,,43.0,15.7,,1029.4,
2021-02-14,-0.4,-5.1,6.0,0.0,,257.0,10.2,,1037.6,
2021-02-15,1.8,-2.6,8.0,0.0,,217.0,9.7,,1037.2,
2021-02-16,5.1,-1.0,11.0,0.0,,191.0,7.7,,1027.1,
2021-02-17,6.2,-0.1,13.0,0.0,,281.0,7.4,,1022.1,
2021-02-18,8.4,4.1,12.4,0.0,,54.0,4.6,,1023.5,
2021-02-19,9.6,5.0,15.0,0.0,,282.0,4.9,,1023.9,
2021-02-20,8.8,2.0,15.0,0.0,,249.0,4.6,,1025.4,
2021-02-21,8.8,4.0,14.0,0.0,,47.0,5.6,,1026.9,
2021-02-22,7.9,2.0,14.0,0.0,,32.0,4.8,,1031.4,
2021-02-23,10.0,5.9,16.4,0.0,,219.0,7.9,,1035.9,
