time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-1.4,-3.2,-0.3,0.0,,131.0,13.1,24.1,1010.0,
2021-01-02,-0.7,-3.4,1.4,0.0,,85.0,4.4,14.8,1015.4,
2021-01-03,1.8,0.8,3.4,1.8,,65.0,8.0,22.2,1014.0,
2021-01-04,1.9,1.7,3.5,5.6,,37.0,5.0,14.8,1015.6,
2021-01-05,0.9,0.5,2.7,0.0,,339.0,9.0,22.2,1013.3,
2021-01-06,0.3,0.4,2.1,5.8,20.0,231.0,5.3,20.4,1011.2,
2021-01-07,0.6,0.0,1.2,1.3,30.0,258.0,11.3,25.9,1011.7,
2021-01-08,0.6,-0.1,2.2,0.5,20.0,227.0,9.5,20.4,1013.6,
2021-01-09,0.3,-0.6,1.4,0.3,20.0,275.0,8.4,22.2,1019.8,
2021-01-10,0.3,-0.6,1.5,0.0,10.0,279.0,5.3,16.7,1024.0,
2021-01-11,-1.8,-5.2,1.5,0.0,,205.0,8.0,22.2,1021.3,
2021-01-12,0.7,-4.3,2.3,0.0,,229.0,18.2,38.9,1007.3,
2021-01-13,1.2,0.0,3.4,1.3,10.0,275.0,18.3,42.6,1007.4,
2021-01-14,-0.3,-1.3,2.1,3.0,71.0,308.0,11.1,29.6,1010.7,
2021-01-15,-1.4,-2.1,0.5,0.5,61.0,331.0,6.2,20.4,1020.2,
2021-01-16,-3.7,-4.7,-1.0,2.0,89.0,298.0,17.3,40.8,1020.9,
2021-01-17,-9.3,-15.8,-2.6,0.5,109.0,54.0,7.9,31.5,1021.0,
2021-01-18,-8.9,-16.7,-1.0,0.0,99.0,134.0,6.9,16.7,1022.1,
2021-01-19,2.1,-4.3,3.4,2.3,99.0,234.0,14.9,31.5,1013.0,
2021-01-20,3.9,1.1,7.0,2.3,30.0,199.0,12.5,31.5,1008.0,
2021-01-21,5.0,2.3,8.3,0.0,,158.0,12.9,27.8,1004.2,
2021-01-22,7.4,3.8,13.5,0.0,,177.0,16.1,31.5,997.6,
2021-01-23,3.7,1.9,10.4,0.0,,283.0,14.3,40.8,995.8,
2021-01-24,1.0,0.1,3.1,0.0,10.0,214.0,6.1,20.4,996.9,
2021-01-25,0.6,0.1,2.3,1.5,,300.0,8.8,27.8,1002.6,
2021-01-26,0.2,-1.6,3.1,0.8,,287.0,15.6,31.5,1011.1,
2021-01-27,0.4,-2.4,2.9,1.0,20.0,277.0,11.3,31.5,1014.1,
2021-01-28,0.3,-4.6,3.1,0.0,10.0,228.0,8.9,25.9,1005.6,
2021-01-29,-1.5,-3.1,2.0,2.3,10.0,229.0,6.5,25.9,999.9,
2021-01-30,-2.6,-6.4,-0.3,3.8,51.0,342.0,8.6,27.8,1000.1,
2021-01-31,-6.9,-10.7,0.1,1.8,61.0,177.0,5.6,16.7,1007.6,
2021-02-01,-7.8,-12.8,-1.3,0.0,61.0,118.0,14.5,33.3,1003.8,
2021-02-02,0.4,-5.6,4.8,0.0,61.0,162.0,10.1,27.8,1004.5,
2021-02-03,7.1,2.0,11.8,0.5,,205.0,14.4,29.6,1001.9,
2021-02-04,3.3,0.2,9.4,2.5,,336.0,14.3,46.3,1009.8,
2021-02-05,-0.1,-0.9,1.4,1.0,10.0,92.0,14.3,29.6,1020.1,
2021-02-06,-1.5,-3.5,0.7,0.5,20.0,78.0,20.3,40.8,1019.2,
2021-02-07,-7.2,-8.1,-1.4,1.0,30.0,79.0,26.7,42.6,1012.8,
2021-02-08,-8.3,-9.5,-6.8,3.6,79.0,39.0,13.8,35.2,1002.5,
2021-02-09,-8.2,-9.7,-6.6,1.3,89.0,306.0,4.6,14.8,1005.6,
2021-02-10,-9.0,-9.0,-7.6,0.8,119.0,296.0,9.2,18.5,1010.4,
2021-02-11,-8.9,-14.0,-5.6,,,313.0,13.2,27.8,1022.7,
2021-02-12,-9.5,-15.0,-6.4,,,296.0,15.0,25.9,1032.0,
2021-02-13,-3.8,-6.5,-1.1,,,297.0,15.6,33.3,1036.9,
2021-02-14,-6.0,-9.0,-1.9,0.0,109.0,297.0,14.3,31.5,1040.3,
2021-02-15,-8.7,-14.6,-2.8,0.0,109.0,156.0,8.3,27.8,1036.7,
2021-02-16,-1.2,-5.6,2.1,1.3,130.0,158.0,9.9,27.8,1021.9,
2021-02-17,2.3,-0.2,5.2,1.0,109.0,288.0,12.2,35.2,1015.3,
2021-02-18,3.6,1.7,6.5,1.5,30.0,132.0,10.8,27.8,1020.5,
2021-02-19,2.9,0.8,10.0,0.0,,228.0,14.4,35.2,1018.6,
2021-02-20,5.9,-3.6,11.7,,,146.0,10.9,27.8,1023.4,
2021-02-21,4.4,0.0,12.1,,,152.0,7.1,25.9,1022.7,
2021-02-22,2.9,-2.0,10.7,0.0,,204.0,6.3,22.2,1024.7,
2021-02-23,5.2,-2.4,16.3,0.0,,165.0,3.9,14.8,1032.9,
2021-02-24,9.9,0.5,20.6,0.0,,211.0,7.1,20.4,1033.6,
2021-02-25,10.1,2.1,20.4,0.0,,151.0,6.1,22.2,1029.1,
2021-02-26,6.2,0.7,13.3,0.0,,315.0,8.3,27.8,1027.7,
2021-02-27,4.9,3.8,8.1,0.0,,293.0,16.2,35.2,1034.1,
2021-02-28,4.4,0.6,9.6,0.0,,303.0,11.7,33.3,1035.9,
2021-03-01,2.8,-0.5,6.8,0.0,,282.0,7.2,18.5,1036.4,
2021-03-02,2.3,-4.1,12.9,0.0,,166.0,4.4,14.8,1035.0,
2021-03-03,4.9,-4.0,15.8,0.0,,285.0,5.9,22.2,1028.1,
2021-03-04,6.2,3.0,12.0,0.0,,298.0,11.7,35.2,1016.9,
2021-03-05,0.4,-2.2,5.3,0.5,,347.0,10.5,29.6,1022.5,
2021-03-06,0.9,-3.6,6.5,0.0,,285.0,13.8,37.0,1030.6,
2021-03-07,2.6,-0.2,4.8,0.0,,275.0,17.7,42.6,1022.2,
2021-03-08,0.3,-2.9,4.1,0.3,10.0,321.0,8.1,24.1,1020.9,
2021-03-09,-1.4,-7.3,5.4,0.0,,160.0,5.6,18.5,1021.7,
2021-03-10,-0.3,-8.0,6.5,0.0,,137.0,6.4,20.4,1020.8,
2021-03-11,2.3,-4.1,7.2,1.0,,174.0,21.0,42.6,1008.6,
2021-03-12,6.4,1.7,9.9,3.0,,258.0,19.4,51.8,1006.0,
2021-03-13,7.3,0.5,10.9,,,221.0,23.1,50.0,1003.0,
2021-03-14,5.3,1.9,9.8,0.0,,259.0,20.7,55.5,1004.2,
2021-03-15,3.9,-0.1,9.3,1.0,,247.0,9.8,27.8,1008.6,
2021-03-16,3.0,0.8,4.3,1.3,,292.0,10.7,35.2,1013.3,
2021-03-17,2.6,1.2,6.5,1.5,,326.0,7.5,25.9,1019.3,
2021-03-18,1.0,-3.6,5.3,,,306.0,6.8,24.1,1020.7,
2021-03-19,0.4,-2.1,3.8,,,353.0,6.8,25.9,1019.5,
2021-03-20,-2.8,-6.7,0.7,,,293.0,8.1,22.2,1025.9,
2021-03-21,1.5,-3.7,5.0,0.0,,261.0,15.2,37.0,1013.8,
2021-03-22,2.6,-2.5,7.9,,,312.0,8.9,27.8,1017.5,
2021-03-23,4.3,0.7,7.1,,,297.0,9.9,31.5,1022.4,
2021-03-24,5.7,2.5,8.6,,,264.0,6.6,20.4,1024.1,
2021-03-25,8.5,2.4,15.2,,,182.0,5.5,16.7,1020.9,
2021-03-26,10.1,3.6,18.6,0.0,,156.0,5.6,20.4,1020.2,
2021-03-27,8.0,3.8,15.9,,,224.0,16.2,42.6,1019.4,
2021-03-28,6.6,0.6,11.1,0.0,,263.0,12.7,31.5,1029.5,
2021-03-29,11.2,3.8,15.5,0.0,,229.0,10.8,24.1,1029.5,
2021-03-30,14.9,10.0,21.2,,,286.0,9.2,25.9,1029.6,
2021-03-31,14.2,4.4,22.8,,,247.0,4.4,16.7,1024.5,
2021-04-01,12.3,4.6,19.1,,,292.0,6.4,29.6,1015.8,
2021-04-02,7.4,4.8,10.5,,,311.0,12.2,22.2,1017.4,
2021-04-03,4.8,2.1,8.4,,,325.0,9.3,29.6,1018.2,
2021-04-04,4.0,-1.4,9.9,3.6,,282.0,8.0,22.2,1021.0,
2021-04-05,4.7,-0.4,12.7,0.0,,247.0,17.1,48.2,1003.9,
2021-04-06,1.8,-0.6,5.6,,,280.0,21.5,40.8,1006.2,
2021-04-07,1.9,-1.9,6.3,0.0,,283.0,14.7,46.3,1009.5,
2021-04-08,3.4,0.2,7.1,,,278.0,20.6,48.2,1018.4,
2021-04-09,6.3,-2.1,12.8,0.0,,205.0,16.7,40.8,1019.4,
2021-04-10,8.1,-0.6,14.3,,,134.0,6.5,25.9,1015.5,
2021-04-11,10.5,1.8,16.9,,,143.0,16.1,42.6,1013.9,
2021-04-12,5.5,2.8,9.2,,,307.0,10.4,29.6,1019.8,
2021-04-13,5.3,2.2,8.7,,,316.0,7.7,25.9,1026.7,
2021-04-14,5.0,3.0,7.1,,,324.0,10.1,33.3,1024.8,
2021-04-15,2.4,1.6,4.3,,,318.0,9.5,33.3,1023.2,
2021-04-16,3.3,1.5,5.2,,,302.0,10.7,27.8,1021.3,
2021-04-17,4.7,3.0,6.6,3.6,,298.0,7.2,20.4,1020.7,
2021-04-18,7.6,5.5,10.1,,,248.0,5.6,16.7,1019.9,
2021-04-19,8.8,5.2,15.9,,,314.0,6.9,22.2,1018.2,
2021-04-20,9.6,4.0,15.5,,,289.0,7.8,18.5,1015.3,
2021-04-21,10.8,3.7,17.4,0.0,,282.0,11.0,31.5,1013.0,
2021-04-22,7.6,4.0,10.6,,,293.0,15.9,42.6,1017.5,
2021-04-23,6.7,3.4,10.4,0.5,,285.0,17.0,40.8,1023.3,
2021-04-24,8.3,3.8,13.5,0.3,,292.0,9.2,29.6,1023.5,
2021-04-25,7.1,3.1,9.9,,,322.0,8.0,29.6,1022.2,
2021-04-26,5.3,0.1,9.4,,,314.0,8.6,24.1,1020.8,
2021-04-27,5.4,-3.5,11.6,0.0,,77.0,9.2,29.6,1016.5,
2021-04-28,9.6,1.0,17.5,,,122.0,15.4,35.2,1010.2,
2021-04-29,12.5,5.6,18.7,,,188.0,12.5,33.3,1005.0,
2021-04-30,11.2,7.8,15.3,,,304.0,12.2,42.6,1010.5,
2021-05-01,9.9,7.2,12.7,,,60.0,8.0,22.2,1013.5,
2021-05-02,7.8,6.8,9.7,,,338.0,14.1,53.7,1008.1,
2021-05-03,7.2,4.1,10.0,,,278.0,19.7,46.3,1017.8,
2021-05-04,10.6,1.6,17.7,,,198.0,16.4,40.8,1009.1,
2021-05-05,10.9,7.0,13.3,,,246.0,18.0,40.8,1002.7,
2021-05-06,8.6,2.2,12.5,0.0,,252.0,17.1,40.8,1008.5,
2021-05-07,7.6,4.5,10.5,,,300.0,11.9,50.0,1008.5,
2021-05-08,8.7,1.8,15.0,0.0,,264.0,14.0,35.2,1019.0,
2021-05-09,15.0,4.1,23.8,,,166.0,17.0,33.3,1015.1,
2021-05-10,18.9,7.3,27.5,0.0,,160.0,17.3,38.9,1010.8,
2021-05-11,21.4,12.5,30.0,,,145.0,19.1,46.3,1007.4,
2021-05-12,18.6,15.1,23.0,,,289.0,14.6,33.3,1005.3,
2021-05-13,14.3,12.4,15.6,,,309.0,12.2,29.6,1002.3,
2021-05-14,12.3,9.3,14.1,,,287.0,14.6,35.2,1005.0,
2021-05-15,13.1,6.3,19.1,,,179.0,10.1,35.2,1008.3,
2021-05-16,13.6,9.5,18.7,9.1,,217.0,8.1,22.2,1004.8,
2021-05-17,13.2,7.5,16.9,,,192.0,9.0,18.5,1004.2,
2021-05-18,13.4,10.3,17.1,,,296.0,13.8,37.0,1008.7,
2021-05-19,12.1,8.8,16.1,,,300.0,8.9,25.9,1013.4,
2021-05-20,11.9,6.6,16.5,,,293.0,10.4,29.6,1017.1,
2021-05-21,13.9,7.2,19.5,,,214.0,16.7,40.8,1011.5,
2021-05-22,14.0,11.9,18.5,,,236.0,14.0,37.0,1007.4,
2021-05-23,12.1,6.6,17.5,0.0,,253.0,11.3,33.3,1014.0,
2021-05-24,13.7,5.8,20.3,,,170.0,16.2,40.8,1018.1,
2021-05-25,13.1,9.8,15.4,,,235.0,14.0,31.5,1013.8,
2021-05-26,12.4,7.2,17.1,,,223.0,18.9,48.2,1015.4,
2021-05-27,13.0,9.3,17.2,,,250.0,13.8,33.3,1015.0,
2021-05-28,11.3,5.4,16.1,,,283.0,10.8,31.5,1019.5,
2021-05-29,11.6,8.9,15.8,,,302.0,9.8,29.6,1021.4,
2021-05-30,12.4,9.4,16.4,,,331.0,7.7,22.2,1024.0,
2021-05-31,13.5,6.2,18.9,,,340.0,7.5,25.9,1022.5,
2021-06-01,14.6,5.0,21.3,0.0,,269.0,7.7,20.4,1018.9,
2021-06-02,18.2,13.7,23.1,,,109.0,14.1,35.2,1020.5,
2021-06-03,17.7,10.3,23.1,,,129.0,8.4,27.8,1024.6,
2021-06-04,18.9,7.7,26.0,,,119.0,12.0,33.3,1023.3,
2021-06-05,20.3,15.0,26.1,1.8,,85.0,10.5,24.1,1019.3,
2021-06-06,19.4,11.0,26.3,0.0,,16.0,7.0,24.1,1019.2,
2021-06-07,20.2,11.1,27.2,,,288.0,5.3,18.5,1019.4,
2021-06-08,21.2,13.9,27.3,,,324.0,8.1,25.9,1019.1,
2021-06-09,20.1,15.1,25.3,,,316.0,8.4,29.6,1019.8,
2021-06-10,18.9,12.8,25.0,,,283.0,8.5,22.2,1019.1,
2021-06-11,19.8,12.2,24.8,0.0,,312.0,8.4,24.1,1016.7,
2021-06-12,18.7,12.8,26.0,,,287.0,10.1,37.0,1014.3,
2021-06-13,14.1,11.5,15.7,,,301.0,12.8,40.8,1021.4,
2021-06-14,16.2,9.0,22.3,,,297.0,5.9,16.7,1022.8,
2021-06-15,20.0,9.4,26.6,,,116.0,5.3,16.7,1018.4,
2021-06-16,22.1,16.7,27.4,,,27.0,5.6,18.5,1018.3,
2021-06-17,24.2,16.7,30.3,,,121.0,12.5,35.2,1017.8,
2021-06-18,25.4,17.0,31.8,,,129.0,12.3,33.3,1017.0,
2021-06-19,26.3,19.6,32.5,,,128.0,7.7,24.1,1014.8,
2021-06-20,27.0,20.0,33.3,,,132.0,11.7,27.8,1010.9,
2021-06-21,24.8,19.6,32.6,,,139.0,11.9,31.5,1007.1,
2021-06-22,20.9,18.4,24.1,,,306.0,10.1,27.8,1010.6,
2021-06-23,19.5,17.3,22.1,,,342.0,7.4,16.7,1018.5,
2021-06-24,20.7,17.3,24.9,,,342.0,7.8,24.1,1016.8,
2021-06-25,18.0,15.7,20.6,,,321.0,6.6,18.5,1017.1,
