time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.1,0.7,2.8,,,148.0,8.3,29.6,1005.9,
2021-01-02,0.3,-1.3,1.4,,,15.0,4.9,14.8,1013.8,
2021-01-03,0.8,-1.1,3.1,,,37.0,12.6,42.6,1022.6,
2021-01-04,-0.2,-1.3,1.1,,,34.0,14.9,40.8,1023.9,
2021-01-05,0.5,-0.2,1.4,,,33.0,13.5,38.9,1022.8,
2021-01-06,0.9,0.0,1.4,,,28.0,15.3,42.6,1013.9,
2021-01-07,0.5,-0.4,1.7,,,15.0,9.5,31.5,1009.2,
2021-01-08,0.7,-0.4,1.5,,,4.0,7.7,22.2,1011.1,
2021-01-09,0.7,-1.2,1.9,,,5.0,8.9,24.1,1020.0,
2021-01-10,0.8,-1.0,1.9,,,234.0,14.5,40.8,1018.9,
2021-01-11,2.9,1.5,4.0,,,223.0,23.7,63.0,1008.4,
2021-01-12,1.7,-0.1,4.3,,,263.0,18.3,59.3,997.1,
2021-01-13,1.1,0.3,2.0,,,257.0,14.9,50.0,998.6,
2021-01-14,-0.5,-2.7,0.7,,,2.0,15.2,42.6,1017.1,
2021-01-15,-6.0,-9.7,-2.7,,,352.0,14.0,31.5,1024.7,
2021-01-16,-6.4,-10.9,-2.0,,,336.0,11.3,29.6,1022.1,
2021-01-17,-1.8,-5.0,0.2,,,134.0,6.2,18.5,1019.7,
2021-01-18,-0.9,-3.7,1.0,,,162.0,12.0,33.3,1015.6,
2021-01-19,1.4,1.0,2.0,,,183.0,11.3,29.6,1004.4,
2021-01-20,4.5,2.1,6.0,,,191.0,22.1,44.5,996.1,
2021-01-21,5.0,4.1,7.6,,,186.0,26.3,51.8,990.5,
2021-01-22,4.5,3.5,6.7,,,198.0,29.1,55.5,986.2,
2021-01-23,2.1,-0.9,4.1,,,183.0,9.8,46.3,995.5,
2021-01-24,0.7,-2.2,3.2,,,119.0,3.9,13.0,996.4,
2021-01-25,0.6,-0.8,1.5,,,248.0,8.3,24.1,999.5,
2021-01-26,0.1,-2.1,1.2,,,303.0,13.7,33.3,1008.0,
2021-01-27,0.5,-2.2,1.9,,,233.0,10.7,27.8,1009.1,
2021-01-28,-1.9,-4.7,0.5,,,311.0,23.6,42.6,1001.8,
2021-01-29,-3.8,-7.4,-1.6,,,13.0,11.3,31.5,1000.5,
2021-01-30,-3.9,-9.5,-0.3,,,311.0,9.0,25.9,1002.2,
2021-01-31,-0.1,-3.9,1.2,,,263.0,13.1,27.8,1000.6,
2021-02-01,-0.8,-3.8,1.0,,,146.0,8.7,27.8,1001.6,
2021-02-02,-1.3,-5.1,1.0,,,310.0,7.9,22.2,1001.0,
2021-02-03,-1.9,-3.5,0.0,,,66.0,15.0,51.8,1004.1,
2021-02-04,-4.2,-5.9,-2.2,,,46.0,12.8,46.3,1015.3,
2021-02-05,-6.1,-7.6,-4.7,,,72.0,10.5,31.5,1024.1,
2021-02-06,-6.2,-8.2,-4.0,,,52.0,14.0,38.9,1026.0,
2021-02-07,-4.7,-7.4,-2.3,,,63.0,16.8,48.2,1021.4,
2021-02-08,-2.9,-3.3,-2.6,,,78.0,27.6,53.7,1013.3,
2021-02-09,-3.9,-6.0,-2.5,,,36.0,22.5,51.8,1010.0,
2021-02-10,-5.3,-8.0,-3.0,,,18.0,19.2,42.6,1014.1,
2021-02-11,-7.4,-9.0,-4.0,,,7.0,16.4,27.8,1028.2,
2021-02-12,-8.6,-14.0,-3.0,,,342.0,14.8,29.6,1036.0,
2021-02-13,-6.9,-13.0,-0.4,,,327.0,12.2,29.6,1039.3,
2021-02-14,-5.9,-11.5,-0.1,,,305.0,7.8,22.2,1039.3,
2021-02-15,-4.4,-13.7,0.5,,,135.0,14.0,38.9,1030.9,
2021-02-16,-0.6,-1.7,0.3,,,145.0,12.5,35.2,1017.5,
2021-02-17,0.8,0.2,1.2,,,97.0,13.4,38.9,1011.5,
2021-02-18,1.2,0.6,1.9,,,121.0,16.8,40.8,1017.0,
2021-02-19,2.8,0.0,5.0,,,211.0,15.4,42.6,1012.4,
2021-02-20,3.2,1.0,6.0,,,135.0,11.6,27.8,1017.0,
2021-02-21,4.1,0.0,9.0,,,132.0,9.2,24.1,1016.4,
2021-02-22,3.7,-0.2,8.5,,,126.0,8.7,24.1,1020.3,
2021-02-23,7.0,4.2,9.7,,,220.0,12.1,29.6,1026.9,
2021-02-24,8.9,3.5,12.1,,,217.0,18.0,38.9,1026.5,
2021-02-25,9.3,4.5,12.2,,,231.0,18.6,37.0,1022.5,
